radio;mcc;net;area;cell;unit;lon;lat;range;samples;changeable;created;updated;averageSignal
GSM;218;90;7;20436;-1;18.3041;43.9101;5608;200;1;1599028042;1722197882;0
GSM;218;90;7;21420;-1;18.3097;43.8597;1000;3;1;1599028042;1722197468;0
GSM;218;90;7;21462;-1;18.2921;43.9309;7270;200;1;1599028042;1722250385;0
GSM;218;90;7;21895;-1;18.3217;43.8634;7502;128;1;1599028042;1722197762;0
GSM;218;90;7;21461;-1;18.3021;43.9117;6988;169;1;1599028042;1722197943;0
GSM;218;5;2;18593;-1;18.3048;43.9053;8308;110;1;1599028042;1722197823;0
GSM;218;5;2;6691;-1;18.297;43.8527;4879;11;1;1599028042;1721995988;0
GSM;218;5;2;5751;-1;18.3826;43.8562;5130;6;1;1599028042;1719651369;0
GSM;218;90;7;21894;-1;18.326;43.8501;1000;6;1;1599028042;1722197344;0
GSM;218;90;7;21892;-1;18.3273;43.8402;1773;7;1;1599028042;1722197284;0
GSM;218;90;7;21227;-1;18.3009;43.9111;6412;17;1;1599028042;1722197943;0
GSM;218;5;2;16363;-1;18.329;43.8329;2585;32;1;1599028042;1722197222;0
GSM;218;5;2;11611;-1;18.3206;43.8502;3633;200;1;1599037093;1722197522;0
GSM;218;90;7;20608;-1;18.3187;43.8516;3868;200;1;1599037093;1722197523;0
GSM;218;3;40;3615;-1;18.2188;43.9834;5177;6;1;1599042693;1722198183;0
GSM;218;5;2;9722;-1;18.039;44.1351;6810;58;1;1599043780;1722199022;0
GSM;218;90;8;21743;-1;18.0771;44.1131;7679;15;1;1599043780;1722198963;0
GSM;218;5;2;9721;-1;18.0726;44.1206;20332;200;1;1599043780;1722199083;0
GSM;218;90;8;21742;-1;18.0776;44.1094;17735;161;1;1599043780;1722251584;0
